race,rekomendasi,gambar,style,price,gender,Inspo
Asian,"T-Shirt (Fine Black T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Superstar Original Black Campaign)","fine-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-superstar-original-black-campaign.jpg",Casual,"350000, 1000000, 1200000",Unisex,"https://lp.weekday.com/app003prod?set=key[resolve.pixelRatio],value[]&set=key[resolve.width],value[475]&set=key[resolve.height],value[10000]&set=key[resolve.imageFit],value[containerwidth]&set=key[resolve.allowImageUpscaling],value[0]&set=key[resolve.format],value[jpeg]&set=key[resolve.quality],value[90]&set=source[/08/e2/08e23e7d32b75b60c1a8384cec295f95b6bfebe7.jpg],origin[dam],type[LOOKBOOK],ImageVersion[1]&call=url[file:/product/dynamic.chain]"
Asian,"Sunglasses (Rush Sunglasses), Jacket (Billie MC Jacket), Jeans (Astro Loose Baggy Jeans), Boots (Ankle Boots)","rush-sunglasses.jpg, billie-mc-jacket.jpg, astro-loose-baggy-jeans.jpg, ankle-boots.jpg",Street,"600000, 1700000, 1000000, 800000",Women,https://lp.weekday.com/app003prod?set=format%5Bwebp%5D%2Cquality%5B79%5D%2Csource%5B%2F28%2F1e%2F281e1e26edbb0e5c36b0d7e3867a2a28eab4b214.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D
Asian,"Cap (Essential Cotton Cap), Sunglasses (Rush Sunglasses), Hoodie (Oversized Zip Hoodie), Shorts (Essence Bike Shorts)","essential-cotton-cap.jpg, rush-sunglasses.jpg, oversized-zip-hoodie.jpg, essence-bike-shorts.jpg",Casual,"350000, 600000, 890000, 250000",Unisex,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Ff8%2F5f%2Ff85f0c5a9dece5c2ac61985a16c8233c3a252406.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
Asian,"Blouse (Mira Black Blouse), Trousers (Ila Slim Cargo Trousers), Boots (Round Toe Zippers Short Ankle Boots)","mira-blouse.jpg, ila-slim-cargo-trousers.jpg, round-toe-zippers-boots-short-ankle-boot.jpg",Formal,"700000, 1200000, 800000",Women,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fe8%2F78%2Fe87885cc6f856d9d684544a68b9ff8e2846f6597.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
Asian,"Shirt (Align Lyocell Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Penny Loafers Patent Square Toe Shoes)","align-lyocell-shirt.jpg, astro-loose-baggy-jeans.jpg, penny-loafers-patent-square-toe-shoes.jpg",Formal,"800000, 1000000, 250000",Women,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fef%2Fdf%2Fefdf100132ba31880fa1807eecf1c072c996fe21.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
Asian,"Hat Piece (Udeng Bali), Shirt (Balinese Safari Shirt), Sarong (Kamen Saput Balinese Sarung), Sandals (Bata Sandals)","udeng-bali.jpg, balinese-safari-shirt.jpg, kamen-saput-balinese.jpg, bata-sandals.jpg",Vintage,"50000, 150000, 120000, 250000",Man,https://i.pinimg.com/736x/4c/72/1b/4c721bcc28a692f49cbd06aa92c687d2--street-snap-folk-style.jpg
Asian,"Jacket (Vintage Mexican Artwear Jacket), Pants (white Slim Fit Pants), Turtleneck (white Turtleneck)","vintage-mexican-artwear-jacket.jpg, white-slim-fit-pants.jpg, white-turtleneck.jpg",Bohemian,"5200000, 500000, 200000",Man,https://www.shutterstock.com/image-photo/three-friends-boho-style-clothes-260nw-2146794965.jpg
Asian,"Cap (Black Norton Caps), T-Shirt (Pocket Boxy Cut Oversized Grey T-Shirt), Pants (Teflon Switchable Cover Pants, Socks (Long Black Nike Shoes), Sneakers (Nike EXP X14 Just Do It Pack Black)","black-norton-caps.jpg, pocket-boxy-cut-oversized-grey-tshirt.jpg, teflon-switchable-cover-pants.jpg, long-black-nike-shoes.jpg, black-norton-caps.jpg",Street,"370000, 65000, 5000000, 150000, 2500000",Man,https://pbs.twimg.com/media/Dh8C7J3XcAACtNQ.jpg:large
Asian,"Waistcoast (Camel Hair Herringbone Jumper Waistcoat), Shirt (Gingham Brown Shirt), Tie (Brown Tie), Chino (Uniqlo Black Chino Skinny Fit), Shoes (Black Pantofel)","camel-hair herringbone-jumper-waistcoat.jpg, gingham-brown-shirt.jpg, brown-tie.jpg, uniqlo-black-chino-skinny-fit.jpg, black-pantofel.jpg",Vintage,"5000000, 800000, 220000, 600000, 1000000",Man,https://media.istockphoto.com/id/1141636771/photo/portrait-of-a-handsome-chinese-young-man-with-korean-style-clothes-walking-on-street-in-hurry.jpg?s=612x612&w=0&k=20&c=lpTlb9A2_DEaCCHC7v3X9cCuW4pZ--FDMIpG-EiI0Gs=
Asian,"T-Shirt (white T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Unisex,
Indian,"Sunglasses (Vogue Womens Eyewear Frames), Denim Shirt (Polo Ralph Lauren Button Down Denim Shirt), Chino (Uniqlo Chino Slim Fit), Sneakers (Nike Air Force 1)","https://storage.cloud.google.com/mixmate/vogue-womens-eyewear-frames.jpg, polo-ralph-lauren-button-down-denim-shirt.jpg, uniqlo-chino-slim-fit.jpg, nike-air-force-1-sneaker.jpg",Casual,"2100000, 2400000, 599000, 1549000",Man,https://i.pinimg.com/originals/8c/0b/a8/8c0ba80ce87b8a2fb25dfc5e390b1a38.jpg
Indian,"T-Shirt (white T-Shirt), Jeans (Astro Loose Baggy Jeans), Shoes (Adidas Velosamba Vegan Cycling Shoes)","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Unisex,
Indian,"T-Shirt (Floral Print Frill Trim Lantern Sleeve Blouse), Pants (SHEIN Self Belted Box Pleated Palazzo Pants Women Elegant Loose)",,Casual,"133000, 535500",Women,https://www.masalathai.com/2015/wp-content/uploads/2022/01/Saloni-lodha.jpg
Indian,"Jacket (Papperdine 2311 Bleach Denim Jacket Jeans Pria ), T-Shirt(white T-Shirt), Pants (M231 Celana Panjang Jeans Denim Stretch Pria Dark Blue C1170 - 33), Shoes (LOTUS RED |MNM x NAZ| Sepatu Sneakers Pria Casual / Sepatu Sporty)",,Casual,"329000, 150000, 294700, 215000",Man,https://qph.cf2.quoracdn.net/main-qimg-296f52f45036a8badf9cc103b48e20db.webp
